MJD,shift,IS_GOOD
60507.71753478,63000001.93312971293926239013671875,True
60507.71754545,63000001.937890894711017608642578125,True
60507.71755613,63000001.9367506504058837890625,True
60507.7175668,63000001.936083249747753143310546875,True
60507.71757746,63000001.931963980197906494140625,True
60507.71758814,63000001.931300103664398193359375,True
60507.7175988,63000001.934977598488330841064453125,True
60507.71760946,63000001.9472967088222503662109375,True
60507.71762016,63000001.961536109447479248046875,True
60507.71763082,63000001.974345512688159942626953125,True
60507.71764149,63000001.991833202540874481201171875,True
60507.71765216,63000001.99807031452655792236328125,True
60507.71766283,63000001.99990676343441009521484375,True
60507.71767352,63000002.00557033717632293701171875,True
60507.71768418,63000002.00316011905670166015625,True
60507.71769484,63000001.996689729392528533935546875,True
60507.71770551,63000002.00239644944667816162109375,True
60507.71771618,63000002.007398314774036407470703125,True
60507.71772684,63000002.014336608350276947021484375,True
60507.71773753,63000002.017025031149387359619140625,True
60507.71774818,63000002.024848639965057373046875,True
60507.71775888,63000002.03015466034412384033203125,True
60507.71776953,63000002.0323053896427154541015625,True
60507.7177802,63000002.030505754053592681884765625,True
60507.71779087,63000002.01866467297077178955078125,True
60507.71780155,63000001.999994523823261260986328125,True
60507.71781222,63000001.98351769149303436279296875,True
60507.71782291,63000001.97309024631977081298828125,True
60507.71783356,63000001.960245512425899505615234375,True
60507.71784422,63000001.955631501972675323486328125,True
