fo_ErYb,SDR:fb_Yb_ErYb,SDR:frep_ErYb,fb_Si_ErYb,MJD,nuSi,nuSr,nuYb
104999999.99969999,28855436.79988500,113927.22932900,100000000.00060000,60507.711778,194397939719128.05370400,429228169936024.3565581684232,518295773594672.17320300
104999999.99959999,28855436.79995800,113927.22965800,100000000.00030001,60507.711791,194397939719192.00340800,429228169936165.5568453463206,518295773594842.67303000
105000000.00180000,28855436.80025700,113927.22927100,100000000.00090000,60507.711803,194397939719116.77989600,429228169935999.4641063255111,518295773594642.11471300
104999999.99940000,28855436.79991900,113927.22985400,99999999.99840000,60507.711815,194397939719230.10110400,429228169936249.6761653671958,518295773594944.24756000
105000000.00130001,28855436.79994500,113927.22936800,100000000.00020000,60507.711827,194397939719135.63436800,429228169936041.0945861317605,518295773594692.38432600
105000000.00070000,28855436.80021400,113927.22968700,100000000.00030001,60507.71184,194397939719197.64031200,429228169936178.0030712677767,518295773594857.70139100
104999999.99930000,28855436.80002700,113927.22931300,99999999.99920000,60507.711852,194397939719124.94368800,429228169936017.4896749014129,518295773594663.88112700
105000000.00100000,28855436.79995300,113927.22982300,100000000.00030001,60507.711864,194397939719224.07544800,429228169936236.3715790373635,518295773594928.18214500
105000000.00080000,28855436.80016400,113927.22947000,99999999.99930000,60507.711876,194397939719155.46072000,429228169936084.8709669589507,518295773594745.24406200
104999999.99969999,28855436.80012800,113927.22909600,100000000.00010000,60507.711888,194397939719082.76409600,429228169935924.3575705925869,518295773594551.42349600
105000000.00120001,28855436.79982400,113927.22981500,100000000.00110000,60507.711901,194397939719222.52044000,429228169936232.9381374038584,518295773594924.03650700
105000000.00060000,28855436.80055900,113927.22944600,99999999.99890000,60507.711913,194397939719150.79569600,429228169936074.5706420584353,518295773594732.80558400
104999999.99930000,28855436.79950200,113927.22951300,100000000.00010000,60507.711925,194397939719163.81888800,429228169936103.3257157390406,518295773594767.52957700
105000000.00100000,28855436.79989700,113927.22939300,99999999.99920000,60507.711937,194397939719140.49376800,429228169936051.8240912364640,518295773594705.34034700
105000000.00110000,28855436.79997000,113927.22927400,99999999.99940000,60507.71195,194397939719117.36302400,429228169936000.7516469380755,518295773594643.66999800
105000000.00080000,28855436.80008800,113927.22964900,100000000.00090000,60507.711962,194397939719190.25402400,429228169936161.6942235086274,518295773594838.00863700
104999999.99930000,28855436.80000600,113927.22984800,99999999.99900000,60507.711974,194397939719228.93484800,429228169936247.1010841420669,518295773594941.13796400
105000000.00010000,28855436.80017200,113927.22929900,100000000.00100000,60507.711986,194397939719122.22242400,429228169936011.4811520427790,518295773594656.62551900
105000000.00020000,28855436.80010400,113927.22935200,99999999.99890000,60507.711998,194397939719132.52435200,429228169936034.2277028647503,518295773594684.09221600
